,beta_factor,Mean_mag_MF,MB1_MF,MB2_MF,MB3_MF,init_state_num,initial_state
0,5.0,0.29416104904908835,0.9998541360169161,0.8766154438730489,-0.9939864327427,0,"[-0.92479224 -0.92479224 -0.92479224 ...  0.03656316  0.03656316
  0.03656316]"
0,5.0,-0.9778457516303706,-0.9349397008853209,-0.9986968030445351,-0.9999007509612557,1,"[-0.98936693 -0.98936693 -0.98936693 ...  0.06966447  0.06966447
  0.06966447]"
0,5.0,-0.3009418624389646,0.992337244745539,-0.8952738677192777,-0.9998889643431548,2,[0.53592576 0.53592576 0.53592576 ... 0.09810689 0.09810689 0.09810689]
0,5.0,0.9790218453527121,0.9998736889452567,0.9987110396336188,0.9384808074792602,3,[0.60198911 0.60198911 0.60198911 ... 0.86289403 0.86289403 0.86289403]
0,5.0,-0.9778459166441432,-0.9349401956458006,-0.9986968033253565,-0.9999007509612727,4,"[-0.85053711 -0.85053711 -0.85053711 ...  0.83847501  0.83847501
  0.83847501]"
0,5.0,0.9790209585426639,0.9998736889305226,0.9987110176374643,0.9384781690600054,5,[0.5300103  0.5300103  0.5300103  ... 0.66593629 0.66593629 0.66593629]
0,5.0,0.9790221997371127,0.9998736889505995,0.9987110484268286,0.9384818618339104,6,[0.79208698 0.79208698 0.79208698 ... 0.99704101 0.99704101 0.99704101]
0,5.0,-0.977845921187951,-0.9349402092758491,-0.9986968033267323,-0.9999007509612718,7,"[-0.72070133 -0.72070133 -0.72070133 ... -0.85306669 -0.85306669
 -0.85306669]"
0,5.0,0.2941605541810308,0.9998541364349595,0.8766140122241484,-0.9939864861160156,8,"[-0.97051242 -0.97051242 -0.97051242 ... -0.81046617 -0.81046617
 -0.81046617]"
0,5.0,0.2941607105733516,0.9998541353873998,0.8766144569681239,-0.9939864606354688,9,"[ 0.68347365  0.68347365  0.68347365 ... -0.02488567 -0.02488567
 -0.02488567]"
0,5.0,-0.300940116855147,0.9923374841643328,-0.8952688710150539,-0.9998889637147194,10,"[-0.30661024 -0.30661024 -0.30661024 ... -0.49232224 -0.49232224
 -0.49232224]"
0,5.0,0.29415553253244503,0.9998541273605668,0.8765993701458973,-0.9939868999091288,11,"[ 0.82203595  0.82203595  0.82203595 ... -0.94814841 -0.94814841
 -0.94814841]"
0,5.0,-0.3009416808903558,0.9923372909180234,-0.8952733693071852,-0.9998889642819051,12,"[-0.07695749 -0.07695749 -0.07695749 ... -0.94206763 -0.94206763
 -0.94206763]"
0,5.0,0.29415916133666786,0.9998541324217791,0.87660993936839,-0.9939865877801654,13,"[ 0.76936379  0.76936379  0.76936379 ... -0.34052984 -0.34052984
 -0.34052984]"
0,5.0,0.2941566664175088,0.9998541288252977,0.8766026737069653,-0.9939868032797365,14,"[ 0.59311718  0.59311718  0.59311718 ... -0.38423511 -0.38423511
 -0.38423511]"
0,5.0,0.29415891593363547,0.9998541319446995,0.876609223779864,-0.9939866079236572,15,[0.85621816 0.85621816 0.85621816 ... 0.04711061 0.04711061 0.04711061]
0,5.0,0.29416146689063,0.9998541367353575,0.8766166617193076,-0.9939863977827748,16,[0.90387034 0.90387034 0.90387034 ... 0.03606512 0.03606512 0.03606512]
0,5.0,0.2941602578988476,0.9998541345221361,0.8766131368926946,-0.9939864977182878,17,"[-0.2545024  -0.2545024  -0.2545024  ... -0.08871315 -0.08871315
 -0.08871315]"
0,5.0,0.9790217283678951,0.9998736889452351,0.9987110367919994,0.938480459366451,18,[0.21042579 0.21042579 0.21042579 ... 0.5478325  0.5478325  0.5478325 ]
0,5.0,-0.9778450767089946,-0.9349376772400091,-0.9986968019257872,-0.9999007509611875,19,"[-0.33144719 -0.33144719 -0.33144719 ... -0.63018882 -0.63018882
 -0.63018882]"
0,5.0,0.9790217728799349,0.9998736889457512,0.998711037896241,0.9384805917978123,20,[0.05370375 0.05370375 0.05370375 ... 0.60131932 0.60131932 0.60131932]
0,5.0,0.9790218181096543,0.9998736889460075,0.9987110390686663,0.9384807263142892,21,[0.86640468 0.86640468 0.86640468 ... 0.72013354 0.72013354 0.72013354]
0,5.0,0.2941613287054765,0.9998541368126439,0.8766162629459252,-0.9939864136421397,22,"[ 0.91478985  0.91478985  0.91478985 ... -0.92427482 -0.92427482
 -0.92427482]"
0,5.0,-0.9778458601726311,-0.9349400263641803,-0.9986968031924528,-0.9999007509612602,23,"[-0.88483299 -0.88483299 -0.88483299 ... -0.37463769 -0.37463769
 -0.37463769]"
0,5.0,-0.9778456190835582,-0.934939303466125,-0.9986968028233069,-0.9999007509612429,24,"[-0.88860317 -0.88860317 -0.88860317 ... -0.28796703 -0.28796703
 -0.28796703]"
0,5.0,0.2941613903849964,0.9998541394869994,0.8766164558930373,-0.9939864242250479,25,"[ 0.90735404  0.90735404  0.90735404 ... -0.44352312 -0.44352312
 -0.44352312]"
0,5.0,0.29415520808278683,0.9998541288238593,0.8765984367553205,-0.9939869413308193,26,"[ 0.00601039  0.00601039  0.00601039 ... -0.77750865 -0.77750865
 -0.77750865]"
0,5.0,0.9790211162088382,0.9998736889333293,0.9987110215663557,0.9384786381268297,27,[0.51612332 0.51612332 0.51612332 ... 0.68849972 0.68849972 0.68849972]
0,5.0,0.29415913681584593,0.9998541324571977,0.8766098685203073,-0.9939865905299672,28,"[ 0.78101366  0.78101366  0.78101366 ... -0.1123896  -0.1123896
 -0.1123896 ]"
0,5.0,-0.9778459134802032,-0.9349401861591725,-0.9986968033201649,-0.9999007509612724,29,"[-0.79683705 -0.79683705 -0.79683705 ...  0.94264094  0.94264094
  0.94264094]"
0,5.0,0.9790215611495432,0.9998736889407805,0.9987110325895557,0.9384799619182936,30,"[-0.43075206 -0.43075206 -0.43075206 ...  0.78110457  0.78110457
  0.78110457]"
0,5.0,0.9790208810389417,0.9998736889247013,0.9987110146843446,0.9384779395077794,31,[0.84500899 0.84500899 0.84500899 ... 0.75944429 0.75944429 0.75944429]
0,5.0,-0.3009404089275837,0.9923374429641442,-0.8952697059272563,-0.999888963819639,32,"[ 0.2639899   0.2639899   0.2639899  ... -0.30976817 -0.30976817
 -0.30976817]"
0,5.0,-0.9778451726463951,-0.9349379648797397,-0.9986968020982461,-0.9999007509611998,33,"[-0.68016242 -0.68016242 -0.68016242 ... -0.83245009 -0.83245009
 -0.83245009]"
0,5.0,-0.9778452953726053,-0.9349383328779514,-0.998696802278655,-0.9999007509612099,34,"[-0.66936302 -0.66936302 -0.66936302 ...  0.38205468  0.38205468
  0.38205468]"
0,5.0,0.29416124610223204,0.9998541364094983,0.8766160187127235,-0.9939864168155255,35,"[ 0.14760574  0.14760574  0.14760574 ... -0.51073187 -0.51073187
 -0.51073187]"
0,5.0,-0.3009403950774932,0.9923374450047643,-0.8952696664225421,-0.9998889638147022,36,[0.25921591 0.25921591 0.25921591 ... 0.03239692 0.03239692 0.03239692]
