Parameter,Value
$\gamma_{\mathrm{block}}$,1.0
$\tau_{\mathrm{block}}$,1e-05
$\epsilon_{\mathrm{block}}$,1.0
$a_{\mathrm{block}}$,1e-08
$\gamma_{\mathrm{full}}$,1.0
$\tau_{\mathrm{full}}$,1e-05
$\epsilon_{\mathrm{full}}$,50.0
$a_{\mathrm{full}}$,1e-06
$T$,20000.0
$T_{\mathrm{Burn}}$,10000.0
MC Runs,15.0
