,block,beta_factor,gradient,snapshot_num,samp_frac,snapshot_mag,snapshot_grad
0,Okolie_ages_1-17,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_29-112,8.0,1.0,0,0.001,0.5,0.75
0,Petrzalka_ages_1-17,8.0,1.0,0,0.001,0.0,1.0
0,Petrzalka_ages_18-21,8.0,1.0,0,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,0,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_1-17,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,1,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,1,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,1,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,1,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,1,0.001,0.0,1.0
0,Petrzalka_ages_18-21,8.0,1.0,1,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,1,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,1,0.001,-0.6,0.64
0,Ruzinov_ages_1-17,8.0,1.0,1,0.001,1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,1,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,1,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,1,0.001,1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,2,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,2,0.001,-1.0,0.0
